timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
0.00000,-0.50000,5.30000,9.30000,-0.30000,-0.00000,0.00000,normal
0.02000,0.43158,4.18947,7.28947,-0.00103,-0.32784,0.20000,normal
0.04000,0.07368,4.04211,7.54211,-0.14536,-0.22474,0.20000,normal
0.06000,-0.28421,3.89474,7.79474,-0.28969,-0.12165,0.20000,normal
0.08000,-0.64211,3.74737,8.04737,-0.43402,-0.01856,0.20000,normal
0.10000,-1.00000,3.60000,8.30000,-0.57835,0.08454,0.20000,normal
0.12000,-0.35263,4.13684,8.11053,0.50000,0.10000,-0.10000,normal
0.14000,-0.28947,4.45263,8.25789,0.50000,0.10000,-0.10000,normal
0.16000,-0.22632,4.76842,8.40526,0.50000,0.10000,-0.10000,normal
0.18000,-0.16316,5.08421,8.55263,0.50000,0.10000,-0.10000,normal
0.20000,-0.10000,5.40000,8.70000,0.50000,0.10000,-0.10000,normal
0.22000,-0.31111,4.15556,8.77778,-0.44811,0.10000,0.00000,normal
0.24000,-0.33333,4.06667,8.73333,-0.35377,0.10000,0.00000,normal
0.26000,-0.35556,3.97778,8.68889,-0.25943,0.10000,0.00000,normal
0.28000,-0.37778,3.88889,8.64444,-0.16509,0.10000,0.00000,normal
0.30000,-0.40000,3.80000,8.60000,-0.07075,0.10000,0.00000,normal
0.32000,-0.51209,4.61209,8.78791,0.27778,0.10000,0.10000,normal
0.34000,-0.53407,4.63407,8.76593,0.06667,0.10000,0.10000,normal
0.36000,-0.55604,4.65604,8.74396,0.01111,0.10000,0.10000,normal
0.38000,-0.57802,4.67802,8.72198,-0.04444,0.10000,0.10000,normal
0.40000,-0.60000,4.70000,8.70000,-0.10000,0.10000,0.10000,normal
0.42000,-1.80526,3.33684,6.45263,-0.51720,0.20000,0.35161,normal
0.44000,-2.07895,2.45263,5.98947,-0.53871,0.20000,0.41613,normal
0.46000,-2.35263,1.56842,5.52632,-0.56022,0.20000,0.48065,normal
0.48000,-2.62632,0.68421,5.06316,-0.58172,0.20000,0.54516,normal
0.50000,-2.90000,-0.20000,4.60000,0.15000,-0.25000,0.90000,normal
0.52000,-1.44167,3.33750,5.51667,-0.34247,-0.42603,1.17397,normal
0.54000,-1.49722,3.25417,5.40556,-0.94521,-0.34384,1.25616,normal
0.56000,-1.55278,3.17083,5.29444,-1.54795,-0.26164,1.33836,normal
0.58000,0.60000,1.10000,5.30000,-3.60000,0.30000,1.80000,normal
0.60000,1.34711,0.70661,6.30413,-3.58496,0.45038,1.89023,normal
0.62000,1.06612,0.49174,6.41983,-3.56992,0.60075,1.98045,normal
0.64000,0.78512,0.27686,6.53554,-3.55489,0.75113,2.07068,normal
0.66000,0.50413,0.06198,6.65124,-3.53985,0.90150,2.16090,normal
0.68000,0.22314,-0.15289,6.76694,-3.52481,1.05188,2.25113,normal
0.70000,-0.05785,-0.36777,6.88264,-3.50977,1.20226,2.34135,normal
0.72000,1.82889,-2.35556,9.72667,-2.94000,1.90000,2.38000,normal
0.74000,1.65111,-2.24444,9.79333,-2.62911,2.39494,2.50000,normal
0.76000,1.47333,-2.13333,9.86000,-2.52785,2.67342,2.50000,normal
0.78000,1.29556,-2.02222,9.92667,-2.42658,2.95190,2.50000,normal
0.80000,1.11778,-1.91111,9.99333,-2.32532,3.23038,2.50000,normal
0.82000,-6.47423,-2.93814,10.32680,-0.99474,2.81053,2.06842,normal
0.84000,-7.42268,-2.81443,10.78041,-0.78421,2.83158,2.00526,normal
0.86000,-8.37113,-2.69072,11.23402,-0.57368,2.85263,1.94211,normal
0.88000,-9.31959,-2.56701,11.68763,-0.36316,2.87368,1.87895,normal
0.90000,-10.26804,-2.44330,12.14124,-0.15263,2.89474,1.81579,normal
0.92000,-3.92889,1.31778,10.65333,-1.73333,-1.16667,0.90000,normal
0.94000,-3.75111,0.36222,8.78667,-2.20000,-1.10000,0.70000,normal
0.96000,-3.57333,-0.59333,6.92000,-2.66667,-1.03333,0.50000,normal
0.98000,-3.39556,-1.54889,5.05333,-3.13333,-0.96667,0.30000,normal
1.00000,-3.21778,-2.50444,3.18667,-3.60000,-0.90000,0.10000,normal
1.02000,-5.36842,-4.27684,8.90947,0.42308,0.79231,0.06923,normal
1.04000,-5.47368,-4.08737,9.07789,0.32692,0.65769,0.03077,normal
1.06000,-5.57895,-3.89789,9.24632,0.23077,0.52308,-0.00769,normal
1.08000,-5.68421,-3.70842,9.41474,0.13462,0.38846,-0.04615,normal
1.10000,-5.78947,-3.51895,9.58316,0.03846,0.25385,-0.08462,normal
