timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
0.00000,-1.00000,2.10000,8.80000,-0.10000,-0.60000,0.20000,normal
0.02000,-0.33600,3.32000,9.49200,-0.02059,-0.45882,0.58971,normal
0.04000,-0.22933,3.18667,9.81200,-0.07941,-0.34118,0.56029,normal
0.06000,-0.12267,3.05333,10.13200,-0.13824,-0.22353,0.53088,normal
0.08000,-0.01600,2.92000,10.45200,-0.19706,-0.10588,0.50147,normal
0.10000,-1.72553,2.21702,8.60000,0.40000,-0.02245,0.58878,normal
0.12000,-1.57660,2.45106,8.60000,0.40000,-0.06327,0.56837,normal
0.14000,-1.42766,2.68511,8.60000,0.40000,-0.10408,0.54796,normal
0.16000,-1.27872,2.91915,8.60000,0.40000,-0.14490,0.52755,normal
0.18000,-1.12979,3.15319,8.60000,0.40000,-0.18571,0.50714,normal
0.20000,-0.24444,4.00556,9.28889,-0.00923,0.40923,-0.00462,normal
0.22000,-0.42222,4.02778,9.24444,-0.04000,0.44000,-0.02000,normal
0.24000,-0.60000,4.05000,9.20000,-0.07077,0.47077,-0.03538,normal
0.26000,-0.77778,4.07222,9.15556,-0.10154,0.50154,-0.05077,normal
0.28000,-0.95556,4.09444,9.11111,-0.13231,0.53231,-0.06615,normal
0.30000,-2.30000,3.48421,8.98421,-0.16308,0.56308,-0.08154,normal
0.32000,-2.30000,3.43158,8.93158,-0.19385,0.59385,-0.09692,normal
0.34000,-2.22821,3.34872,8.87949,-0.27500,0.15000,-0.15000,normal
0.36000,-2.04872,3.22051,8.82821,-0.20000,-0.03667,-0.31833,normal
0.38000,-1.86923,3.09231,8.77692,-0.20000,-0.10333,-0.35167,normal
0.40000,-1.68974,2.96410,8.72564,-0.20000,-0.17000,-0.38500,normal
0.42000,-1.46620,2.66197,9.35634,0.80000,-1.20000,-0.60000,normal
0.44000,-1.29718,2.97183,9.63803,0.80000,-1.17297,-0.57297,normal
0.46000,-1.12817,3.28169,9.91972,0.80000,-1.14595,-0.54595,normal
0.48000,-0.95915,3.59155,10.20141,0.80000,-1.11892,-0.51892,normal
0.50000,-1.50000,2.70000,9.50000,-0.20000,0.10000,-0.60000,normal
0.52000,-0.82000,2.94500,9.21000,0.02338,-0.34675,-0.37662,normal
0.54000,-0.62000,2.99500,9.11000,0.04935,-0.39870,-0.35065,normal
0.56000,-0.42000,3.04500,9.01000,0.07532,-0.45065,-0.32468,normal
0.58000,-0.22000,3.09500,8.91000,0.10000,-0.50000,-0.30000,normal
0.60000,0.09058,3.10942,8.99058,0.20000,-0.28994,-0.18994,normal
0.62000,0.07609,3.12391,8.97609,0.20000,-0.27736,-0.17736,normal
0.64000,0.06159,3.13841,8.96159,0.20000,-0.26478,-0.16478,normal
0.66000,0.04710,3.15290,8.94710,0.20000,-0.25220,-0.15220,normal
0.68000,0.03261,3.16739,8.93261,0.20000,-0.23962,-0.13962,normal
0.70000,0.01812,3.18188,8.91812,0.20000,-0.22704,-0.12704,normal
0.72000,0.00362,3.19638,8.90362,0.20000,-0.21447,-0.11447,normal
0.74000,-0.35385,3.71538,8.58462,0.20000,-0.20189,-0.10189,normal
0.76000,-1.20909,3.87727,8.20000,-0.20000,0.00000,0.10000,normal
0.78000,-1.08788,3.84697,8.20000,-0.43396,0.10000,0.10000,normal
0.80000,-0.96667,3.81667,8.20000,-0.47170,0.10000,0.10000,normal
0.82000,-0.31222,3.28333,6.01556,-0.80000,0.50000,0.20000,normal
0.84000,-0.55667,2.95000,6.32667,-1.08095,1.19524,0.11905,normal
0.86000,-0.80111,2.61667,6.63778,-1.05714,1.31429,0.14286,normal
0.88000,-1.04556,2.28333,6.94889,-1.03333,1.43333,0.16667,normal
0.90000,-1.29000,1.95000,7.26000,-1.00952,1.55238,0.19048,normal
0.92000,-4.77849,2.21183,7.50430,1.46129,2.60000,1.28065,normal
0.94000,-4.67097,2.77097,7.52581,1.33226,2.60000,1.21613,normal
0.96000,-4.56344,3.33011,7.54731,1.20323,2.60000,1.15161,normal
0.98000,-4.45591,3.88925,7.56882,1.07419,2.60000,1.08710,normal
1.00000,-4.34839,4.44839,7.59032,0.94516,2.60000,1.02258,normal
1.02000,-8.28936,1.59468,8.72128,-1.31667,2.77778,0.29444,normal
1.04000,-8.24681,1.57340,8.80638,-1.37222,2.70370,0.27593,normal
1.06000,-8.20426,1.55213,8.89149,-1.42778,2.62963,0.25741,normal
1.08000,-8.16170,1.53085,8.97660,-1.48333,2.55556,0.23889,normal
1.10000,-8.11915,1.50957,9.06170,-1.53889,2.48148,0.22037,normal
1.12000,-7.55000,0.60000,8.75000,-1.59444,2.40741,0.20185,normal
1.14000,-5.99873,0.23797,7.64937,-1.90000,2.04000,0.20000,normal
