timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
0.00000,-0.20000,4.50000,9.40000,0.20000,-0.10000,0.10000,normal
0.02000,0.02828,3.35556,8.16465,-0.13962,0.34717,0.27358,normal
0.04000,-0.43636,3.80000,8.24545,-0.19623,0.27170,0.23585,normal
0.06000,-0.90101,4.24444,8.32626,-0.25283,0.19623,0.19811,normal
0.08000,-1.36566,4.68889,8.40707,-0.30943,0.12075,0.16038,normal
0.10000,-1.83030,5.13333,8.48788,-0.36604,0.04528,0.12264,normal
0.12000,-1.72151,4.84086,6.95161,-0.60000,0.20000,0.30000,normal
0.14000,-1.80753,4.60430,6.75806,-0.77582,0.24396,0.34396,normal
0.16000,-1.89355,4.36774,6.56452,-0.95165,0.28791,0.38791,normal
0.18000,-1.97957,4.13118,6.37097,-1.12747,0.33187,0.43187,normal
0.20000,-2.06559,3.89462,6.17742,-1.30330,0.37582,0.47582,normal
0.22000,-2.72159,0.04091,3.73068,-2.84098,0.50000,1.30656,normal
0.24000,-1.92614,-0.41364,4.38977,-2.54590,0.50000,1.33934,normal
0.26000,-1.13068,-0.86818,5.04886,-2.25082,0.50000,1.37213,normal
0.28000,-0.33523,-1.32273,5.70795,-1.95574,0.50000,1.40492,normal
0.30000,0.46023,-1.77727,6.36705,-1.66066,0.50000,1.43770,normal
0.32000,-3.33158,3.51579,7.02632,-1.36557,0.50000,1.47049,normal
0.34000,-3.79474,2.54737,6.87895,-0.50000,1.30000,1.50000,normal
0.36000,-4.25789,1.57895,6.73158,-2.38571,2.90159,1.45079,normal
0.38000,-4.72105,0.61053,6.58421,-3.24286,3.02857,1.51429,normal
0.40000,-5.18421,-0.35789,6.43684,-4.10000,3.15556,1.57778,normal
0.42000,-9.00532,-3.36383,5.49043,-4.26154,2.48352,2.71648,normal
0.44000,-9.23936,-4.17234,5.46915,-4.10769,2.41758,2.78242,normal
0.46000,-9.47340,-4.98085,5.44787,-3.95385,2.35165,2.84835,normal
0.48000,-9.70745,-5.78936,5.42660,-3.80000,2.28571,2.91429,normal
0.50000,-9.94149,-6.59787,5.40532,-3.64615,2.21978,2.98022,normal
