timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
0.00000,0.10000,3.90000,8.30000,-0.10000,0.00000,0.30000,normal
0.02000,-0.68843,4.51074,8.26198,-0.00924,0.00000,0.00924,normal
0.04000,-0.53967,4.79174,8.34463,-0.02605,0.00000,0.02605,normal
0.06000,-0.39091,5.07273,8.42727,-0.04286,0.00000,0.04286,normal
0.08000,-0.24215,5.35372,8.50992,-0.05966,0.00000,0.05966,normal
0.10000,-0.09339,5.63471,8.59256,-0.07647,0.00000,0.07647,normal
0.12000,0.05537,5.91570,8.67521,-0.09328,0.00000,0.09328,normal
0.14000,-0.08526,4.99263,8.20737,0.00000,0.00000,0.00000,normal
0.16000,-0.04316,4.97158,8.22842,0.00000,0.00000,0.00000,normal
0.18000,-0.00105,4.95053,8.24947,0.00000,0.00000,0.00000,normal
0.20000,0.04105,4.92947,8.27053,0.00000,0.00000,0.00000,normal
0.22000,0.08316,4.90842,8.29158,0.00000,0.00000,0.00000,normal
0.24000,-0.25000,5.00000,8.05000,-0.10000,0.10000,0.00000,normal
0.26000,-0.20000,5.00000,8.10000,-0.10000,0.10000,0.00000,normal
0.28000,-0.20000,5.00000,8.10000,-0.10000,0.10000,0.00000,normal
0.30000,-0.20000,5.00000,8.10000,-0.10000,0.10000,0.00000,normal
0.32000,-0.20000,5.00000,8.10000,-0.10000,0.10000,0.00000,normal
0.34000,-0.42500,5.02500,7.90000,-0.10000,0.10000,0.00000,normal
0.36000,-0.42024,5.02024,7.83929,-0.35385,0.20000,0.05385,normal
0.38000,-0.44405,5.04405,7.76786,-0.44242,0.20000,0.12121,normal
0.40000,-0.46786,5.06786,7.69643,-0.50303,0.20000,0.15152,normal
0.42000,-0.49167,5.09167,7.62500,-0.56364,0.20000,0.18182,normal
0.44000,-0.40000,3.97640,5.26966,-2.71522,0.20000,1.20870,normal
0.46000,-0.40000,3.81910,5.06742,-2.86739,0.20000,1.29565,normal
0.48000,-0.40000,3.66180,4.86517,-3.01957,0.20000,1.38261,normal
0.50000,-0.40000,3.50449,4.66292,-3.17174,0.20000,1.46957,normal
0.52000,-0.40000,3.34719,4.46067,-3.32391,0.20000,1.55652,normal
