timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
0.00000,-2.00000,-1.00000,10.70000,0.20000,0.20000,0.00000,normal
0.02000,-1.74043,-1.82340,10.18298,-0.07115,-0.01442,-0.11442,normal
0.04000,-1.97447,-1.69574,9.82128,-0.03269,-0.03365,-0.13365,normal
0.06000,-2.20851,-1.56809,9.45957,0.00577,-0.05288,-0.15288,normal
0.08000,-2.44255,-1.44043,9.09787,0.04423,-0.07212,-0.17212,normal
0.10000,-2.67660,-1.31277,8.73617,0.08269,-0.09135,-0.19135,normal
0.12000,-1.83750,-0.73409,9.70000,0.00000,-0.09213,0.00000,normal
0.14000,-1.58750,-0.87045,9.70000,0.00000,-0.06966,0.00000,normal
0.16000,-1.33750,-1.00682,9.70000,0.00000,-0.04719,0.00000,normal
0.18000,-1.08750,-1.14318,9.70000,0.00000,-0.02472,0.00000,normal
0.20000,-0.83750,-1.27955,9.70000,0.00000,-0.00225,0.00000,normal
0.22000,-1.80000,-1.28750,9.67500,0.10000,0.18739,-0.01261,normal
0.24000,-1.80000,-1.26667,9.63333,0.10000,0.16937,-0.03063,normal
0.26000,-1.80000,-1.24583,9.59167,0.10000,0.15135,-0.04865,normal
0.28000,-1.80000,-1.22500,9.55000,0.10000,0.13333,-0.06667,normal
0.30000,-1.80000,-1.20417,9.50833,0.10000,0.11532,-0.08468,normal
0.32000,-2.01111,-1.60000,9.76667,0.10000,0.10000,-0.13000,normal
0.34000,-2.03333,-1.60000,9.90000,0.31304,0.00000,-0.38696,normal
0.36000,-2.05556,-1.60000,10.03333,0.34203,0.00000,-0.35797,normal
0.38000,-2.07778,-1.60000,10.16667,0.37101,0.00000,-0.32899,normal
0.40000,-2.10000,-1.60000,10.30000,0.40000,0.00000,-0.30000,normal
0.42000,-2.35155,-0.90619,10.10103,0.60000,-0.11649,-0.08557,normal
0.44000,-1.75361,-0.51443,10.36907,0.60000,-0.40515,-0.33299,normal
0.46000,-1.15567,-0.12268,10.63711,0.60000,-0.69381,-0.58041,normal
0.48000,-0.55773,0.26907,10.90515,0.60000,-0.98247,-0.82784,normal
0.50000,0.04021,0.66082,11.17320,0.60000,-1.27113,-1.07526,normal
0.52000,-1.98043,-0.71087,9.23478,-0.08587,-0.10000,-0.38587,normal
0.54000,-1.74130,-0.73261,9.10435,-0.06413,-0.10000,-0.36413,normal
0.56000,-1.50217,-0.75435,8.97391,-0.04239,-0.10000,-0.34239,normal
0.58000,-1.26304,-0.77609,8.84348,-0.02065,-0.10000,-0.32065,normal
0.60000,-1.02391,-0.79783,8.71304,0.10000,0.00000,-0.40000,normal
0.62000,-1.29053,-0.67263,9.29158,0.47944,0.28411,0.01589,normal
0.64000,-1.12211,-0.63053,9.58632,0.57290,0.26542,0.03458,normal
0.66000,-0.95368,-0.58842,9.88105,0.66636,0.24673,0.05327,normal
0.68000,-0.78526,-0.54632,10.17579,0.75981,0.22804,0.07196,normal
0.70000,-0.61684,-0.50421,10.47053,0.85327,0.20935,0.09065,normal
0.72000,-1.79619,0.21905,9.80571,1.10000,0.30000,0.20000,normal
0.74000,-1.75810,0.40952,9.86286,1.22727,0.43636,0.49091,normal
0.76000,-1.72000,0.60000,9.92000,1.29545,0.27727,0.46818,normal
0.78000,-1.68190,0.79048,9.97714,1.36364,0.11818,0.44545,normal
0.80000,-1.64381,0.98095,10.03429,1.43182,-0.04091,0.42273,normal
0.82000,-1.60571,1.17143,10.09143,1.50000,-0.20000,0.40000,normal
0.84000,-1.10204,1.89592,9.00000,0.90400,-0.30000,0.57600,normal
0.86000,-0.93878,2.22245,9.00000,0.74400,-0.30000,0.53600,normal
0.88000,-0.80000,2.70000,8.90000,0.40000,-0.20000,0.50000,normal
0.90000,-0.62203,2.77797,8.87797,0.10000,0.01453,0.22906,normal
0.92000,-0.65593,2.74407,8.84407,0.10000,0.03162,0.26325,normal
0.94000,-0.68983,2.71017,8.81017,0.10000,0.04872,0.29744,normal
0.96000,-0.72373,2.67627,8.77627,0.10000,0.06581,0.33162,normal
0.98000,-0.75763,2.64237,8.74237,0.10000,0.08291,0.36581,normal
1.00000,-0.79153,2.60847,8.70847,0.10000,0.10000,0.40000,normal
1.02000,-2.86344,4.96344,9.33548,0.25472,0.05472,0.30377,normal
1.04000,-2.43333,4.53333,9.40000,0.19811,-0.00189,0.05849,normal
1.06000,-2.00323,4.10323,9.46452,0.14151,-0.05849,-0.18679,normal
1.08000,-1.57312,3.67312,9.52903,0.08491,-0.11509,-0.43208,normal
1.10000,-1.14301,3.24301,9.59355,0.02830,-0.17170,-0.67736,normal
1.12000,-2.25952,2.89762,9.09048,0.00000,0.18000,-0.16000,normal
1.14000,-1.85476,2.87381,8.99524,-0.11233,-0.08767,0.35068,normal
1.16000,-1.45000,2.85000,8.90000,-0.13973,-0.06027,0.24110,normal
1.18000,-1.04524,2.82619,8.80476,-0.16712,-0.03288,0.13151,normal
1.20000,-0.64048,2.80238,8.70952,-0.19452,-0.00548,0.02192,normal
1.22000,-1.33261,0.94348,8.97826,-0.50909,1.09091,0.48182,normal
1.24000,-1.39783,1.03043,8.93478,-0.53182,1.06818,0.43636,normal
1.26000,-1.46304,1.11739,8.89130,-0.55455,1.04545,0.39091,normal
1.28000,-1.52826,1.20435,8.84783,-0.57727,1.02273,0.34545,normal
1.30000,-1.59348,1.29130,8.80435,-0.60000,1.00000,0.30000,normal
1.32000,-2.20105,1.38211,8.00947,-0.31500,1.16000,0.40000,normal
1.34000,-2.66421,1.50842,8.17789,-0.33500,1.24000,0.40000,normal
1.36000,-3.12737,1.63474,8.34632,-0.35500,1.32000,0.40000,normal
1.38000,-3.59053,1.76105,8.51474,-0.37500,1.40000,0.40000,normal
1.40000,-4.05368,1.88737,8.68316,-0.39500,1.48000,0.40000,normal
1.42000,-5.09111,0.88222,9.00000,-1.75825,0.98058,0.29029,normal
1.44000,-5.06889,0.83778,9.00000,-1.87476,0.94175,0.27087,normal
1.46000,-5.04667,0.79333,9.00000,-1.99126,0.90291,0.25146,normal
1.48000,-5.02444,0.74889,9.00000,-2.10777,0.86408,0.23204,normal
1.50000,-5.00222,0.70444,9.00000,-2.22427,0.82524,0.21262,normal
1.52000,-5.02045,-1.52273,8.40227,-2.44000,0.80000,0.13000,normal
1.54000,-4.70227,-1.61364,8.81136,-2.30000,0.50667,0.11867,normal
1.56000,-4.38409,-1.70455,9.22045,-2.30000,0.37333,0.14533,normal
1.58000,-4.06591,-1.79545,9.62955,-2.30000,0.24000,0.17200,normal
1.60000,-3.74773,-1.88636,10.03864,-2.30000,0.10667,0.19867,normal
1.62000,-3.23830,-4.40000,8.77234,-2.16250,0.30000,-0.10000,normal
1.64000,-3.30213,-4.40000,8.55957,-2.07917,0.30000,-0.10000,normal
1.66000,-3.36596,-4.40000,8.34681,-1.99583,0.30000,-0.10000,normal
1.68000,-3.42979,-4.40000,8.13404,-1.91250,0.30000,-0.10000,normal
1.70000,-3.49362,-4.40000,7.92128,-1.82917,0.30000,-0.10000,normal
1.72000,-4.63846,-4.83846,6.52308,-0.58710,0.70000,-0.28710,normal
1.74000,-4.74835,-4.66264,6.58901,-0.54409,0.70000,-0.24409,normal
1.76000,-4.85824,-4.48681,6.65495,-0.50108,0.70000,-0.20108,normal
1.78000,-4.96813,-4.31099,6.72088,-0.45806,0.70000,-0.15806,normal
1.80000,-5.07802,-4.13516,6.78681,-0.41505,0.70000,-0.11505,normal
1.82000,-6.97664,-6.18972,8.54299,-0.77949,0.56581,-0.18632,normal
1.84000,-6.75234,-6.17103,8.07570,-0.72821,0.48034,-0.15214,normal
1.86000,-6.52804,-6.15234,7.60841,-0.67692,0.39487,-0.11795,normal
1.88000,-6.30374,-6.13364,7.14112,-0.62564,0.30940,-0.08376,normal
1.90000,-6.07944,-6.11495,6.67383,-0.57436,0.22393,-0.04957,normal
1.92000,-5.45000,-5.15000,5.80000,-0.52308,0.13846,-0.01538,normal
1.94000,-5.52375,-4.98125,6.16125,0.20725,0.09275,0.10725,normal
1.96000,-5.54875,-4.85625,6.43625,0.23623,0.06377,0.13623,normal
1.98000,-5.57375,-4.73125,6.71125,0.26522,0.03478,0.16522,normal
2.00000,-5.59875,-4.60625,6.98625,0.29420,0.00580,0.19420,fall
2.02000,-5.60000,-4.63333,6.95000,0.11158,0.00000,0.30000,fall
2.04000,-5.60000,-4.67500,6.88750,0.13263,0.00000,0.30000,fall
2.06000,-5.60000,-4.71667,6.82500,0.15368,0.00000,0.30000,fall
2.08000,-5.60000,-4.75833,6.76250,0.17474,0.00000,0.30000,fall
2.10000,-5.60000,-4.80000,6.70000,0.19579,0.00000,0.30000,fall
2.12000,-5.41000,-4.51000,6.99000,0.20860,0.00000,0.30000,fall
2.14000,-5.43222,-4.53222,6.96778,0.23011,0.00000,0.30000,fall
2.16000,-5.45444,-4.55444,6.94556,0.25161,0.00000,0.30000,fall
2.18000,-5.47667,-4.57667,6.92333,0.27312,0.00000,0.30000,fall
2.20000,-5.49889,-4.59889,6.90111,0.29462,0.00000,0.30000,fall
2.22000,-5.60000,-4.40000,7.01011,0.30729,0.00729,0.29271,fall
2.24000,-5.60000,-4.40000,7.03258,0.32813,0.02813,0.27187,fall
2.26000,-5.60000,-4.40000,7.05506,0.34896,0.04896,0.25104,fall
2.28000,-5.60000,-4.40000,7.07753,0.36979,0.06979,0.23021,fall
2.30000,-5.60000,-4.40000,7.10000,0.39063,0.09063,0.20937,fall
2.32000,-5.60000,-4.10000,7.10588,0.40000,0.10778,0.19222,fall
2.34000,-5.60000,-4.10000,7.12941,0.40000,0.13000,0.17000,fall
2.36000,-5.60000,-4.10000,7.15294,0.40000,0.15222,0.14778,fall
2.38000,-5.60000,-4.10000,7.17647,0.40000,0.17444,0.12556,fall
2.40000,-5.60000,-4.10000,7.20000,0.40000,0.19667,0.10333,fall
2.42000,-5.80000,-3.58889,6.91111,0.60909,0.20000,-0.00909,fall
2.44000,-5.80000,-3.56667,6.93333,0.63182,0.20000,-0.03182,fall
2.46000,-5.80000,-3.54444,6.95556,0.65455,0.20000,-0.05455,fall
2.48000,-5.80000,-3.52222,6.97778,0.67727,0.20000,-0.07727,fall
2.50000,-5.80000,-3.50000,7.00000,0.70000,0.20000,-0.10000,fall
2.52000,-5.83980,-2.27347,7.18673,0.65982,0.20000,-0.10000,fall
2.54000,-5.90102,-2.23265,7.16633,0.60625,0.20000,-0.10000,fall
2.56000,-5.96224,-2.19184,7.14592,0.55268,0.20000,-0.10000,fall
2.58000,-6.02347,-2.15102,7.12551,0.49911,0.20000,-0.10000,fall
2.60000,-6.08469,-2.11020,7.10510,0.44554,0.20000,-0.10000,fall
2.62000,-5.89130,-2.89130,7.09130,0.40000,0.20000,-0.10000,fall
2.64000,-5.86957,-2.86957,7.06957,0.42597,0.21299,-0.20000,fall
2.66000,-5.84783,-2.84783,7.04783,0.47792,0.23896,-0.20000,fall
2.68000,-5.82609,-2.82609,7.02609,0.52987,0.26494,-0.20000,fall
2.70000,-5.80435,-2.80435,7.00435,0.58182,0.29091,-0.20000,fall
2.72000,-5.89186,-2.88372,6.70000,0.60000,0.50000,-0.30000,fall
2.74000,-5.86860,-2.83721,6.70000,0.60000,0.50000,-0.30000,fall
2.76000,-5.84535,-2.79070,6.70000,0.60000,0.50000,-0.30000,fall
2.78000,-5.82209,-2.74419,6.70000,0.60000,0.50000,-0.30000,fall
2.80000,-5.75000,-2.75000,6.75000,0.60000,0.50000,-0.30000,fall
2.82000,-5.80000,-2.28989,7.27978,0.80000,0.58667,-0.30000,fall
2.84000,-5.80000,-2.26742,7.23483,0.80000,0.56444,-0.30000,fall
2.86000,-5.80000,-2.24494,7.18989,0.80000,0.54222,-0.30000,fall
2.88000,-5.80000,-2.22247,7.14494,0.80000,0.52000,-0.30000,fall
